alkylated DNA	REACTION1
REACTION750	fatty acid
sugar alcohol	REACTION751
NAD(P)+	REACTION751
REACTION751	aldose
REACTION751	NAD(P)H
dCDP	REACTION752
ATP	REACTION752
REACTION752	dCTP
REACTION752	ADP
[protein]-L-tyrosine phosphate	REACTION753
REACTION753	[protein]-L-tyrosine
REACTION753	phosphate
protein	REACTION754
REACTION754	peptide
REACTION754	peptide
phosphatidylcholine	REACTION755
REACTION755	1-acyl 2-lyso-phosphatidylcholine
REACTION755	fatty acid
hydrogen carbonate	REACTION756
hydrogen carbonate[mitochondrial intermembrane space]	REACTION757
hydrogen carbonate[mitochondrial lumen]	REACTION758
N-acetyl-alpha-D-glucosaminyl-L-serine-[glycoprotein]	REACTION759
REACTION759	N-acetyl-alpha-D-glucosamine
REACTION759	[protein]-L-serine
ATP	REACTION760
[protein]-L-tyrosine	REACTION760
REACTION760	ADP
REACTION760	[protein]-L-tyrosine phosphate
19-oxo-testosterone	REACTION761
reduced flavoprotein	REACTION761
REACTION761	17beta-estradiol
REACTION761	formate
REACTION761	oxidized flavoprotein
nucleoside cyclic 3',5'-monophosphate	REACTION762
REACTION762	nucleoside 5'-monophosphate
glycine	REACTION763
succinyl-CoA	REACTION763
REACTION763	5-aminolevulinate
REACTION763	coenzyme A
acetone	REACTION764
reduced flavoprotein	REACTION764
REACTION764	acetol
REACTION764	oxidized flavoprotein
N-acetyl-beta-D-glucosamine(anhydrous)-N-acetylmuramate	REACTION765
REACTION765	N-acetyl-beta-D-glucosamine
REACTION765	1,6-anhydro-N-acetyl-beta-muramate
2-acyl 1-lyso-phosphatidylcholine	REACTION766
REACTION766	carboxylate
REACTION766	sn-glycero-3-phosphocholine
peptidoglycan	REACTION767
REACTION767	N-acetylmuramate
REACTION767	peptide
ATP	REACTION768
[protein]-L-tyrosine	REACTION768
REACTION768	ADP
REACTION768	[protein]-L-tyrosine phosphate
1-ethyladenine	REACTION769
2-oxoglutarate	REACTION769
REACTION769	adenine
REACTION769	acetaldehyde
REACTION769	succinate
beta-nicotinamide D-ribonucleotide	REACTION770
diphosphate	REACTION770
REACTION770	5-phospho-alpha-D-ribose 1-diphosphate
REACTION770	nicotinamide
peptidylproline (omega = 180)	REACTION771
REACTION771	peptidylproline (omega = 0)
D-sorbitol	REACTION772
NAD+	REACTION772
REACTION772	keto-D-fructose
REACTION772	NADH
oleate	REACTION773
ATP	REACTION773
coenzyme A	REACTION773
REACTION773	oleoyl-CoA
REACTION773	AMP
REACTION773	diphosphate
3,5-diiodothyronamine	REACTION774
unknown reduced electron acceptor	REACTION774
REACTION774	3-iodothyronamine
REACTION774	iodide
REACTION774	unknown oxidized electron acceptor
1-alkyl-2-acetyl-sn-glycero-3-phosphocholine	REACTION775
REACTION775	acetate
REACTION775	1-alkyl-2-lyso-sn-glycero-3-phosphocholine
18-hydroxycorticosterone	REACTION776
reduced  adrenodoxin	REACTION776
REACTION776	aldosterone
REACTION776	oxidized adrenodoxin
NADH	REACTION777
ubiquinone[inner membrane]	REACTION777
REACTION777	NAD+
REACTION777	ubiquinol[inner membrane]
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate	REACTION778
REACTION778	1-phosphatidyl-1D-myo-inositol 4-phosphate
REACTION778	phosphate
tetrahydrobiopterin	REACTION779
L-tryptophan	REACTION779
REACTION779	5-hydroxy-L-tryptophan
REACTION779	4alpha-hydroxy-tetrahydrobiopterin
phenylacetaldehyde	REACTION780
NAD+	REACTION780
REACTION780	phenylacetate
REACTION780	NADH
reduced c-type cytochrome	REACTION781
REACTION781	oxidized c-type cytochrome
[protein]-(L-serine/L-threonine)	REACTION782
ATP	REACTION782
REACTION782	[protein] (L-serine/L-threonine) phosphate
REACTION782	ADP
[protein] (L-serine/L-threonine) phosphate	REACTION783
REACTION783	[protein]-(L-serine/L-threonine)
REACTION783	phosphate
peptidylproline (omega = 180)	REACTION784
REACTION784	peptidylproline (omega = 0)
[protein]-(L-serine/L-threonine)	REACTION785
ATP	REACTION785
REACTION785	[protein] (L-serine/L-threonine) phosphate
REACTION785	ADP
(S)-malate	REACTION786
NADP+	REACTION786
REACTION786	pyruvate
REACTION786	NADPH
lipoyl-adenylate	REACTION787
[lipoyl-carrier protein]-L-lysine	REACTION787
REACTION787	[lipoyl-carrier protein] N6-lipoyl-L-lysine
REACTION787	AMP
uridine38-40 in tRNA	REACTION788
REACTION788	pseudouridine38-40 in tRNA
ATP	REACTION789
molybdopterin	REACTION789
REACTION789	molybdopterin adenine dinucleotide
REACTION789	diphosphate
tRNAtyr	REACTION790
L-tyrosine	REACTION790
ATP	REACTION790
REACTION790	L-tyrosyl-[tRNAtyr]
REACTION790	AMP
REACTION790	diphosphate
phosphate monoester	REACTION791
REACTION791	alcohol
REACTION791	phosphate
L-1-phosphatidylethanolamine	REACTION792
REACTION792	fatty acid
REACTION792	1-acyl 2-lyso-phosphatidylethanolamine
2-oxoglutarate	REACTION793
N6,N6,N6-trimethyl-L-lysine	REACTION793
REACTION793	succinate
REACTION793	3-hydroxy-N6,N6,N6-trimethyl-L-lysine
S-adenosyl-L-methionine	REACTION794
3-demethylubiquinol-10	REACTION794
REACTION794	S-adenosyl-L-homocysteine
REACTION794	ubiquinol-10
L-carnitine	REACTION795
palmitoyl-CoA	REACTION795
REACTION795	L-palmitoylcarnitine
REACTION795	coenzyme A
L-carnitine[mitochondrial lumen]	REACTION796
palmitoyl-CoA[mitochondrial lumen]	REACTION796
REACTION796	L-palmitoylcarnitine[mitochondrial lumen]
REACTION796	coenzyme A[mitochondrial lumen]
(R)-adrenaline	REACTION797
S-adenosyl-L-methionine	REACTION797
REACTION797	metanephrine
REACTION797	S-adenosyl-L-homocysteine
GTP	REACTION798
REACTION798	cyclic-GMP
REACTION798	diphosphate
[protein] (L-serine/L-threonine) phosphate	REACTION799
REACTION799	[protein]-(L-serine/L-threonine)
REACTION799	phosphate
carbonic acid	REACTION800
3-iodo-L-tyrosine	REACTION801
iodide	REACTION801
NADP+	REACTION801
REACTION801	3,5-diiodo-L-tyrosine
REACTION801	NADPH
ADP-D-ribosyl(n)-acceptor	REACTION802
NAD+	REACTION802
REACTION802	ADP-D-ribosyl(n+1)-acceptor
REACTION802	nicotinamide
L-tyrosine	REACTION803
REACTION803	L-dopa
GDP-beta-L-fucose	REACTION804
N4-{N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-N-acetyl-beta-D-glucosaminyl}-protein-L-asparagine	REACTION804
REACTION804	N(4)-{N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,3)]-N-acetyl-beta-D-glucosaminyl}asparagine
REACTION804	GDP
RNase E degradation substrate mRNA	REACTION805
REACTION805	single-stranded RNA
all-trans-retinol	REACTION806
NAD+	REACTION806
REACTION806	all-trans-retinal
REACTION806	NADH
diphosphate	REACTION807
REACTION807	phosphate
polycistronic tRNA precursor	REACTION808
REACTION808	tRNA precursor with a 5' extension and a long 3' trailer
REACTION808	partially processed polycistronic tRNA precursor
[protein]-(L-serine/L-threonine)	REACTION809
ATP	REACTION809
REACTION809	[protein] (L-serine/L-threonine) phosphate
REACTION809	ADP
myristoyl-CoA	REACTION810
REACTION810	myristate
REACTION810	coenzyme A
glycogen	REACTION811
phosphate	REACTION811
REACTION811	limit dextrin
REACTION811	alpha-D-glucose 1-phosphate
fructose 1,6-bisphosphate	REACTION812
REACTION812	dihydroxyacetone phosphate
REACTION812	D-glyceraldehyde 3-phosphate
[protein]-(L-serine/L-threonine)	REACTION813
ATP	REACTION813
REACTION813	[protein] (L-serine/L-threonine) phosphate
REACTION813	ADP
squalene	REACTION814
NADPH	REACTION814
REACTION814	(3S)-2,3-epoxy-2,3-dihydrosqualene
REACTION814	NADP+
(3R)-3-hydroxyacyl-CoA	REACTION815
NAD+	REACTION815
REACTION815	3-oxoacyl-CoA
REACTION815	NADH
nucleoside triphosphate	REACTION816
RNA(n)	REACTION816
REACTION816	RNA(n+1)
REACTION816	diphosphate
(deoxynucleotides)(m)	REACTION817
ATP	REACTION817
(deoxynucleotides)(n)	REACTION817
REACTION817	(deoxynucleotides)(n+m)
REACTION817	AMP
REACTION817	diphosphate
D-sorbitol	REACTION818
NAD+	REACTION818
REACTION818	keto-D-fructose
REACTION818	NADH
[heparan]-alpha-D-glucosamine	REACTION819
3'-phosphoadenylyl-sulfate	REACTION819
REACTION819	[heparan sulfate]-alpha-D-glucosamine 3-sulfate
REACTION819	adenosine 3',5'-bisphosphate
3-methylbutanol	REACTION820
NAD+	REACTION820
REACTION820	3-methylbutanal
REACTION820	NADH
[protein] (L-serine/L-threonine) phosphate	REACTION821
REACTION821	[protein]-(L-serine/L-threonine)
REACTION821	phosphate
tRNA precursor with a 5' extension	REACTION822
REACTION822	uncharged tRNA
REACTION822	single-stranded RNA
reduced c-type cytochrome	REACTION823
REACTION823	oxidized c-type cytochrome
oleate	REACTION824
ATP	REACTION824
coenzyme A	REACTION824
REACTION824	oleoyl-CoA
REACTION824	AMP
REACTION824	diphosphate
L-tyrosine	REACTION825
REACTION825	dopaquinone
N-acetyl-beta-neuraminate	REACTION826
CTP	REACTION826
REACTION826	CMP-N-acetyl-beta-neuraminate
REACTION826	diphosphate
N-acetyl-alpha-D-glucosaminide	REACTION827
REACTION827	N-acetyl-alpha-D-glucosamine
REACTION827	non glycosylated sugar acceptor
[protein]-L-aspartate	REACTION828
2-oxoglutarate	REACTION828
REACTION828	succinate
REACTION828	[protein]-3-hydroxy-L-aspartate
dinucleotide (nucleic acid)	REACTION829
REACTION829	nucleoside 5'-monophosphate
17-hydro(p)docosahexaenoate	REACTION830
unknown oxidized electron acceptor	REACTION830
REACTION830	4S-hydroperoxy,17R-H-docosahexaenoate
REACTION830	unknown reduced electron acceptor
very-long-chain 2,3,4-saturated fatty acyl CoA	REACTION831
NADP+	REACTION831
REACTION831	very-long-chain trans-2,3-dehydroacyl-CoA
REACTION831	NADPH
3-beta-hydroxyandrost-5-en-17-one 3-sulfate	REACTION832
REACTION832	sulfate
REACTION832	dehydroepiandrosterone
5-alpha-androstan-3beta,17beta-diol	REACTION833
NADP+	REACTION833
REACTION833	5-alpha-dihydrotestosterone
REACTION833	NADPH
all-trans-retinyl palmitate	REACTION834
REACTION834	retinol
REACTION834	palmitate
S-adenosyl-L-methionine	REACTION835
REACTION835	S-adenosyl-L-homocysteine
protein	REACTION836
REACTION836	peptide
REACTION836	peptide
[protein]-L-tyrosine phosphate	REACTION837
REACTION837	[protein]-L-tyrosine
REACTION837	phosphate
tRNA precursor with a 5' extension	REACTION838
REACTION838	uncharged tRNA
REACTION838	single-stranded RNA
UDP-alpha-D-galactose	REACTION839
beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R	REACTION839
REACTION839	alpha-D-galactosyl-(1,3)-beta-D-galactosyl-(1,4)-N-acetyl-D-glucosaminyl-R
REACTION839	UDP
(3R)-3-hydroxybutanoyl-[acp]	REACTION840
REACTION840	crotonyl-[acp]
arachidoyl-CoA	REACTION841
REACTION841	arachidate
REACTION841	coenzyme A
CDP	REACTION842
ATP	REACTION842
REACTION842	CTP
REACTION842	ADP
[histone]-L-lysine	REACTION843
S-adenosyl-L-methionine	REACTION843
REACTION843	[histone] N6-methyl-L-lysine
REACTION843	S-adenosyl-L-homocysteine
D-glucopyranose 6-phosphate	REACTION844
REACTION844	D-glucopyranose
REACTION844	phosphate
nucleoside triphosphate	REACTION845
RNA(n)	REACTION845
REACTION845	RNA(n+1)
REACTION845	diphosphate
N-acetyl-beta-D-hexosaminide	REACTION846
REACTION846	N-acetyl-beta-D-hexosamine
REACTION846	alcohol
RNA	REACTION847
REACTION847	ribonucleoside 3'-phosphate
REACTION847	3' phosphooligonucleotide
polypeptide	REACTION848
REACTION848	polypeptide
glutathione	REACTION849
4-hydroxy-2-nonenal	REACTION849
REACTION849	4-hydroxy-2-nonenal-glutathione conjugate
oxidized c-type cytochrome	REACTION850
ubiquinol	REACTION850
REACTION850	reduced c-type cytochrome
REACTION850	ubiquinone
alpha-lactose	REACTION851
REACTION851	beta-D-galactose
REACTION851	beta-D-glucose
UTP	REACTION852
REACTION852	UMP
REACTION852	phosphate
[protein]-L-tyrosine phosphate	REACTION853
REACTION853	[protein]-L-tyrosine
REACTION853	phosphate
D-amino acid	REACTION854
REACTION854	ammonium
REACTION854	2-oxo carboxylate
acetyl-CoA	REACTION855
spermidine	REACTION855
REACTION855	N1-acetylspermidine
REACTION855	coenzyme A
acyl-CoA	REACTION856
REACTION856	trans-2-enoyl-CoA
Fe2+	REACTION857
REACTION857	Fe3+
glycine	REACTION858
choloyl-CoA	REACTION858
REACTION858	glycocholate
REACTION858	coenzyme A
alpha-D-glucose 1-phosphate	REACTION859
REACTION859	D-glucopyranose 6-phosphate
N-acetyl-beta-D-galactosaminide-[chondroitin/dermatan]	REACTION860
UDP-alpha-D-glucuronate	REACTION860
REACTION860	beta-D-glucuronosyl-[chondroitin/dermatan]
REACTION860	UDP
4-acetamidobutanal	REACTION861
NAD+	REACTION861
REACTION861	4-acetamidobutanoate
REACTION861	NADH
S-ubiquitinyl-[E1 ubiquitin-activating enzyme]-L-cysteine	REACTION862
[E2 ubiquitin-conjugating enzyme]-L-cysteine	REACTION862
REACTION862	[E1 ubiquitin-activating enzyme]-L-cysteine
REACTION862	S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION863
REACTION863	1,2-diacyl-sn-glycerol
REACTION863	D-myo-inositol (1,4)-bisphosphate
2'-deoxyguanosine	REACTION864
ATP	REACTION864
REACTION864	dGMP
REACTION864	ADP
L-carnitine	REACTION865
palmitoyl-CoA	REACTION865
REACTION865	L-palmitoylcarnitine
REACTION865	coenzyme A
L-carnitine[mitochondrial lumen]	REACTION866
palmitoyl-CoA[mitochondrial lumen]	REACTION866
REACTION866	L-palmitoylcarnitine[mitochondrial lumen]
REACTION866	coenzyme A[mitochondrial lumen]
[protein]-(L-serine/L-threonine)	REACTION867
ATP	REACTION867
REACTION867	[protein] (L-serine/L-threonine) phosphate
REACTION867	ADP
[protein]-L-tyrosine phosphate	REACTION868
REACTION868	[protein]-L-tyrosine
REACTION868	phosphate
double stranded DNA	REACTION869
REACTION869	5'-phosphooligonucleotide
REACTION869	5' phosphodinucleotide
3,3',5'-triiodo-L-thyronine	REACTION870
unknown reduced electron acceptor	REACTION870
REACTION870	3,3'-diiodothyronine
REACTION870	iodide
REACTION870	unknown oxidized electron acceptor
2'-deoxyguanosine	REACTION871
ATP	REACTION871
REACTION871	dGMP
REACTION871	ADP
[protein]-L-tyrosine phosphate	REACTION872
REACTION872	[protein]-L-tyrosine
REACTION872	phosphate
D-myo-inositol 1,3,4,5,6-pentakisphosphate	REACTION873
ATP	REACTION873
REACTION873	diphospho-1D-myo-inositol tetrakisphosphate
REACTION873	ADP
ATP	REACTION874
L-methionine	REACTION874
REACTION874	S-adenosyl-L-methionine
REACTION874	phosphate
REACTION874	diphosphate
1-phosphatidyl-1D-myo-inositol 4-phosphate	REACTION875
ATP	REACTION875
REACTION875	1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate
REACTION875	ADP
immunoglobulin G glycopeptide	REACTION876
REACTION876	fragments of immunoglobuline G glycopeptide
REACTION876	alpha-L-fucopyranose
all-trans-retinol	REACTION877
NAD+	REACTION877
REACTION877	all-trans-retinal
REACTION877	NADH
octanoyl-[acp]	REACTION878
[glycine cleavage system lipoyl-carrier protein]-L-lysine	REACTION878
REACTION878	[glycine-cleavage complex H protein] N6-octanoyl-L-lysine
REACTION878	holo-[acyl-carrier protein]
indole	REACTION879
NADH	REACTION879
REACTION879	indoxyl
REACTION879	NAD+
(S)-nicotine	REACTION880
NADPH	REACTION880
REACTION880	nicotine-1'-N-oxide
REACTION880	NADP+
nucleoside diphosphate	REACTION881
ATP	REACTION881
REACTION881	nucleoside triphosphate
REACTION881	ADP
L-1-phosphatidyl-inositol	REACTION882
REACTION882	1-acyl-sn-glycero-3-phospho-D-myo-inositol
REACTION882	carboxylate
beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]-L-serine/L-threonine	REACTION883
CMP-N-acetyl-beta-neuraminate	REACTION883
REACTION883	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-[glycoprotein]
REACTION883	CMP
oxalosuccinate	REACTION884
REACTION884	2-oxoglutarate
[glycine-cleavage complex H protein] N6-dihydrolipoyl-L-lysine	REACTION885
NAD+	REACTION885
REACTION885	[glycine-cleavage complex H protein] N6-lipoyl-L-lysine
REACTION885	NADH
1,2-diacyl-sn-glycerol 3-phosphate	REACTION886
REACTION886	1,2-diacyl-sn-glycerol
REACTION886	phosphate
[protein]-(L-serine/L-threonine)	REACTION887
ATP	REACTION887
REACTION887	[protein] (L-serine/L-threonine) phosphate
REACTION887	ADP
[histone]-L-lysine	REACTION888
S-adenosyl-L-methionine	REACTION888
REACTION888	[histone] N6-methyl-L-lysine
REACTION888	S-adenosyl-L-homocysteine
glutathione	REACTION889
standard alpha amino acid	REACTION889
REACTION889	L-cysteinyl-glycine
REACTION889	(gamma-L-glutamyl)-L-amino acid
L-glutamine	REACTION890
L-glutamyl-[tRNAGln]	REACTION890
ATP	REACTION890
REACTION890	L-glutamate
REACTION890	L-glutaminyl-[tRNAgln]
REACTION890	ADP
REACTION890	phosphate
ubiquinone	REACTION891
e-	REACTION891
REACTION891	ubiquinol
ATP	REACTION892
protein	REACTION892
REACTION892	ADP
REACTION892	phosphoprotein
deoxyribonucleoside triphosphate	REACTION893
(deoxynucleotides)(n)	REACTION893
REACTION893	(deoxynucleotides)(n+1)
REACTION893	diphosphate
2-dihydro-NAD	REACTION894
REACTION894	NAD+
beta-L-fucose 1-phosphate	REACTION895
GTP	REACTION895
REACTION895	GDP-L-fucose
REACTION895	diphosphate
[protein] (L-serine/L-threonine) phosphate	REACTION896
REACTION896	[protein]-(L-serine/L-threonine)
REACTION896	phosphate
ATP	REACTION897
dCMP	REACTION897
REACTION897	ADP
REACTION897	dCDP
[histone]-L-lysine	REACTION898
acetyl-CoA	REACTION898
REACTION898	[histone]-N6-acetyl-L-lysine
REACTION898	coenzyme A
2-phenylethylamine	REACTION899
REACTION899	phenylacetaldehyde
REACTION899	ammonium
ATP	REACTION900
IkappaB protein	REACTION900
REACTION900	ADP
REACTION900	phosphorylated IkappaB protein
protein	REACTION901
REACTION901	peptide
REACTION901	peptide
[protein]-(L-serine/L-threonine)	REACTION902
ATP	REACTION902
REACTION902	[protein] (L-serine/L-threonine) phosphate
REACTION902	ADP
selenide	REACTION903
ATP	REACTION903
REACTION903	selenophosphate
REACTION903	AMP
REACTION903	phosphate
N10-formyl-tetrahydrofolate	REACTION904
NADP+	REACTION904
REACTION904	tetrahydrofolate
REACTION904	NADPH
[protein]-(L-serine/L-threonine)	REACTION905
ATP	REACTION905
REACTION905	[protein] (L-serine/L-threonine) phosphate
REACTION905	ADP
ubiquitin C-terminal thioester	REACTION906
REACTION906	ubiquitin
REACTION906	thiol
OPC4-CoA	REACTION907
acetyl-CoA	REACTION907
REACTION907	OPC6-3-ketoacyl-CoA
REACTION907	coenzyme A
acetoacetyl-CoA	REACTION908
acetyl-CoA	REACTION908
REACTION908	(S)-3-hydroxy-3-methylglutaryl-CoA
REACTION908	coenzyme A
acetoacetyl-CoA[mitochondrial lumen]	REACTION909
acetyl-CoA[mitochondrial lumen]	REACTION909
REACTION909	(S)-3-hydroxy-3-methylglutaryl-CoA[mitochondrial lumen]
REACTION909	coenzyme A[mitochondrial lumen]
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol	REACTION910
NAD(P)+	REACTION910
REACTION910	5alpha-cholesta-8,24-dien-3-one
REACTION910	NAD(P)H
NADH[mitochondrial lumen]	REACTION911
ubiquinone[mitochondrial inner membrane]	REACTION911
REACTION911	NAD+[mitochondrial lumen]
REACTION911	ubiquinol[mitochondrial inner membrane]
tRNA precursor with a 5' extension and a short 3' extension	REACTION912
REACTION912	tRNA precursor with a short 3' extension
REACTION912	single-stranded RNA
ceramide	REACTION913
ATP	REACTION913
REACTION913	ceramide 1-phosphate
REACTION913	ADP
inosine	REACTION914
phosphate	REACTION914
REACTION914	alpha-D-ribose-1-phosphate
REACTION914	hypoxanthine
ATP	REACTION915
[protein]-L-tyrosine	REACTION915
REACTION915	ADP
REACTION915	[protein]-L-tyrosine phosphate
leukotriene B4	REACTION916
NADPH	REACTION916
REACTION916	20-hydroxy-leukotriene B4
REACTION916	NADP+
methyl jasmonate	REACTION917
REACTION917	jasmonic acid
REACTION917	methanol
[protein]-L-tyrosine phosphate	REACTION918
REACTION918	[protein]-L-tyrosine
REACTION918	phosphate
ferrocytochrome b5	REACTION919
palmitoyl-CoA	REACTION919
REACTION919	ferricytochrome b5
REACTION919	palmitoleyl-CoA
[protein]-(L-serine/L-threonine)	REACTION920
ATP	REACTION920
REACTION920	[protein] (L-serine/L-threonine) phosphate
REACTION920	ADP
(3R)-hydroxy cis delta5-dodecenoyl-[acp]	REACTION921
REACTION921	trans-delta3-cis-delta5-dodecenoyl-[acp]
ATP	REACTION922
mitogen-activated protein kinase kinase	REACTION922
REACTION922	ADP
REACTION922	phosphorylated mitogen-activated protein kinase kinase
RNase II degradation substrate mRNA	REACTION923
REACTION923	nucleoside 5'-monophosphate
glutathione	REACTION924
NADP+	REACTION924
REACTION924	glutathione disulfide
REACTION924	NADPH
peptidylproline (omega = 180)	REACTION925
REACTION925	peptidylproline (omega = 0)
4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol	REACTION926
